trade_id,timestamp,resting_order_id,aggressor_order_id,aggressor_side,price,quantity,strategy_name,position_after,cash_after,equity_after
1,1700000004,1004,1000000,BID,100.250000,2,MomentumStrategy,2,999799.500000,1000000.000000
2,1700000005,1004,1000001,BID,100.250000,2,MomentumStrategy,4,999599.000000,1000000.000000
3,1700000006,1006,1000002,BID,100.200000,2,MomentumStrategy,6,999398.600000,999999.800000
4,1700000007,1007,1000003,ASK,100.050000,2,MomentumStrategy,4,999598.700000,999998.900000
5,1700000008,1007,1000004,ASK,100.050000,2,MomentumStrategy,2,999798.800000,999998.900000
6,1700000009,1009,1000005,ASK,100.080000,2,MomentumStrategy,0,999998.960000,999998.960000
7,1700000010,1010,1000006,BID,100.160000,2,MomentumStrategy,2,999798.640000,999998.960000
8,1700000012,1010,1000007,BID,100.160000,2,MomentumStrategy,4,999598.320000,999998.960000
9,1700000014,1012,1000008,BID,100.150000,2,MomentumStrategy,6,999398.020000,999998.920000
10,1700000015,1013,1000009,ASK,100.120000,2,MomentumStrategy,4,999598.260000,999998.740000
11,1700000016,1013,1000010,ASK,100.120000,2,MomentumStrategy,2,999798.500000,999998.740000
12,1700000017,1015,1000011,ASK,100.140000,2,MomentumStrategy,0,999998.780000,999998.780000
13,1700000019,1016,1000012,BID,100.140000,1,MomentumStrategy,1,999898.640000,999998.790000
14,1700000019,1012,1000012,BID,100.150000,1,MomentumStrategy,2,999798.490000,999998.790000
15,1700000020,1014,1000013,BID,100.170000,2,MomentumStrategy,4,999598.150000,999998.830000
16,1700000021,1018,1000014,BID,100.160000,2,MomentumStrategy,6,999397.830000,999998.790000
17,1700000022,1014,1000015,BID,100.170000,1,MomentumStrategy,7,999297.660000,999998.920000
18,1700000022,1008,1000015,BID,100.180000,1,MomentumStrategy,8,999197.480000,999998.920000
19,1700000024,1008,1000016,BID,100.180000,2,MomentumStrategy,10,998997.120000,999998.920000
20,1700000065,1051,1000046,ASK,100.440000,1,MomentumStrategy,9,999097.560000,1000001.340000
21,1700000065,1053,1000046,ASK,100.420000,1,MomentumStrategy,8,999197.980000,1000001.340000
22,1700000066,1053,1000047,ASK,100.420000,2,MomentumStrategy,6,999398.820000,1000001.340000
23,1700000067,1055,1000048,ASK,100.400000,2,MomentumStrategy,4,999599.620000,1000001.220000
24,1700000068,1055,1000049,ASK,100.400000,2,MomentumStrategy,2,999800.420000,1000001.220000
25,1700000069,1057,1000050,ASK,100.380000,2,MomentumStrategy,0,1000001.180000,1000001.180000
26,1700000071,1057,1000051,ASK,100.380000,2,MomentumStrategy,-2,1000201.940000,1000001.180000
27,1700000072,1059,1000052,ASK,100.360000,2,MomentumStrategy,-4,1000402.660000,1000001.220000
28,1700000073,1059,1000053,ASK,100.360000,2,MomentumStrategy,-6,1000603.380000,1000001.220000
